Title,ActualPrice,Status,Description,PostalCode,StateCode,City,Url
250-E-40th-St-Apt-35B_New-York_NY_10016_M34713-15740,$1375000,for_sale,"baths_consolidated: 2, type: condos, sub_type: condo, sold_date: 2023-04-04",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/250-E-40th-St-Apt-35B_New-York_NY_10016_M34713-15740
211-Madison-Ave-B26_New-York_NY_10016_M40606-89765,$2995000,for_sale,"baths_consolidated: 3, type: condos, sub_type: condo",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/211-Madison-Ave-B26_New-York_NY_10016_M40606-89765
241-5th-Ave-Ph-15_New-York_NY_10016_M36513-36837,$5900000,for_sale,"baths_consolidated: 3, type: condos, sub_type: condo, sold_date: 2013-12-10",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/241-5th-Ave-Ph-15_New-York_NY_10016_M36513-36837
251-E-32nd-St-2D_New-York_NY_10016_M91507-67182,$295000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/251-E-32nd-St-2D_New-York_NY_10016_M91507-67182
330-E-38th-St-Apt-18B_New-York_NY_10016_M30401-93052,$999999,for_sale,"baths_consolidated: 2, type: condos, sub_type: condo, sold_date: 2000-01-21",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/330-E-38th-St-Apt-18B_New-York_NY_10016_M30401-93052
310-Lexington-Ave-Apt-1F_New-York_NY_10016_M98842-50341,$599000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/310-Lexington-Ave-Apt-1F_New-York_NY_10016_M98842-50341
105-E-29th-St-Apt-4_New-York_NY_10016_M40824-86672,$5750000,for_sale,"baths_consolidated: 2.5, type: coop, sub_type: co_op, sold_date: 2014-05-08",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/105-E-29th-St-Apt-4_New-York_NY_10016_M40824-86672
325-5th-Ave-Apt-18C_New-York_NY_10016_M31066-33701,$1750000,for_sale,"baths_consolidated: 2, type: condos, sub_type: condo, sold_date: 2017-02-16",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/325-5th-Ave-Apt-18C_New-York_NY_10016_M31066-33701
220-Madison-Ave-Apt-9N_New-York_NY_10016_M47386-11613,$650000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2015-06-30",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/220-Madison-Ave-Apt-9N_New-York_NY_10016_M47386-11613
166-E-35th-St-Apt-16A_New-York_NY_10016_M44497-93040,$325000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2004-10-13",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/166-E-35th-St-Apt-16A_New-York_NY_10016_M44497-93040
23-Park-Ave-4NS_New-York_NY_10016_M46011-04137,$4500000,for_sale,"baths_consolidated: 3, type: coop, sub_type: co_op, sold_date: 2016-01-12",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/23-Park-Ave-4NS_New-York_NY_10016_M46011-04137
45-Park-Ave-Apt-1501_New-York_NY_10016_M43720-83921,$2350000,for_sale,"baths_consolidated: 2.5, type: condos, sub_type: condo, sold_date: 2008-01-18",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/45-Park-Ave-Apt-1501_New-York_NY_10016_M43720-83921
50-Park-Ave-Apt-14D_New-York_NY_10016_M97221-83140,$565000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/50-Park-Ave-Apt-14D_New-York_NY_10016_M97221-83140
208-E-28th-St-Apt-2A_New-York_NY_10016_M36051-27252,$650000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2014-07-11",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/208-E-28th-St-Apt-2A_New-York_NY_10016_M36051-27252
50-Park-Ave-Apt-4A_New-York_NY_10016_M41946-32429,$725000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2007-08-14",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/50-Park-Ave-Apt-4A_New-York_NY_10016_M41946-32429
333-E-34th-St-4DE_New-York_NY_10016_M97846-35184,$2700000,for_sale,"baths_consolidated: 3, type: condos, sub_type: condo",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/333-E-34th-St-4DE_New-York_NY_10016_M97846-35184
132-E-35th-St-L14_New-York_NY_10016_M41288-73385,$699000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/132-E-35th-St-L14_New-York_NY_10016_M41288-73385
150-E-37th-St-Apt-4B_New-York_NY_10016_M31803-58483,$540000,for_sale,"baths_consolidated: 1, type: condos, sub_type: condo, sold_date: 1986-03-21",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/150-E-37th-St-Apt-4B_New-York_NY_10016_M31803-58483
333-E-30th-St-Apt-8L_New-York_NY_10016_M30872-30192,$1450000,for_sale,"baths_consolidated: 2, type: condos, sub_type: condo, sold_date: 1982-03-02",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/333-E-30th-St-Apt-8L_New-York_NY_10016_M30872-30192
225-E-34th-St-Apt-11J_New-York_NY_10016_M46268-86393,$1250000,for_sale,"baths_consolidated: 1, type: condos, sub_type: condo, sold_date: 2018-08-02",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/225-E-34th-St-Apt-11J_New-York_NY_10016_M46268-86393
211-Madison-Ave-B16_New-York_NY_10016_M40603-17105,$2399000,for_sale,"baths_consolidated: 2.5, type: condos, sub_type: condo, sold_date: 2016-08-02",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/211-Madison-Ave-B16_New-York_NY_10016_M40603-17105
333-E-34th-St-Rm-1D_New-York_NY_10016_M94668-87355,$480000,for_sale,"baths_consolidated: 1, type: condos, sub_type: condo",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/333-E-34th-St-Rm-1D_New-York_NY_10016_M94668-87355
10-Park-Ave-11K_New-York_NY_10016_M92265-78266,$595000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/10-Park-Ave-11K_New-York_NY_10016_M92265-78266
